Website,Article,ArticleTitle,ArticleText,Author(s),ArticleLink
CNN,1,"Perfect storm' of disease ahead with vaccines delayed and measles cases up, WHO and UNICEF say","The World Health Organization and the United Nations International Children's Emergency Fund warned of an increased risk of measles spread, with worldwide cases up nearly 80% so far in 2022 compared with 2021. Almost 17,338 measles cases were reported worldwide in January and February 2022, compared to 9,665 during the first two months of 2021, the organizations said in a news release on Wednesday, noting there were 21 ""large and disruptive"" outbreaks, many in Africa and the East Mediterranean region. ""Pandemic-related disruptions, increasing inequalities in access to vaccines, and the diversion of resources from routine immunization are leaving too many children without protection against measles and other vaccine-preventable diseases,"" the organizations said, adding that as cities and countries relax Covid-19 pandemic restrictions, measles outbreaks become more likely.
""It is encouraging that people in many communities are beginning to feel protected enough from COVID-19 to return to more social activities. But doing so in places where children are not receiving routine vaccination creates the perfect storm for the spread of a disease like measles,"" Catherine Russell, UNICEF executive director, said in the release.
Twenty-three million children missed out on childhood vaccinations in 2020, the organizations said. Childhood vaccination campaigns have been hindered recently by the Covid-19 pandemic and conflicts in Ukraine, Ethiopia, Somalia, and Afghanistan.
As of April 1, ""57 vaccine-preventable disease campaigns in 43 countries that were scheduled to take place since the start of the pandemic are still postponed, impacting 203 million people, most of whom are children,"" the organizations said. ""Of these, 19 are measles campaigns, which put 73 million children at risk of measles due to missed vaccinations."" According to WHO and UNICEF, ""coverage at or above 95 per cent with two doses of the safe and effective measles vaccine can protect against measles."" In all five countries with the highest cases in the last year, first dose coverage was below 70% in 2020. In the US, Centers for Disease Control and Prevention published data last week that showed measles vaccinations in kindergarten students dropped to 93.6% in the 2020-2021 school year.
""We are concerned that missed routine vaccinations could leave children vulnerable to preventable diseases like measles and whooping cough, which are extremely contagious and can be very serious, especially for babies and young children,"" Dr. Shannon Stokley, deputy director of the CDC's Immunization Services Division said of the release of the vaccination data.",Virginia Langmaid,https://www.cnn.com/2022/04/27/health/who-unicef-measles/index.html
CNN,2,Pfizer requests FDA authorization for Covid-19 booster for kids 5 through 11,"Pfizer and BioNTech said Tuesday that they have submitted an application to the US Food and Drug Administration for emergency use authorization of a booster dose of Covid-19 vaccine for children 5 through 11. The companies have said that a third vaccine dose raised Omicron-fighting antibodies by 36 times in this age group. In an analysis of 140 children with no evidence of prior Covid-19 infection, antibody levels against the original strain of the SARS-CoV-2 virus were six times higher one month after a booster dose than a month after the second vaccine dose. Studies from the New York State Department of Health and the US Centers for Disease Control and Prevention found that the effectiveness of Pfizer's vaccine for children ages 5 to 12 dropped substantially during the Omicron surge, falling from 68% to about 12% against Covid-19 infection. However, two doses continued to provide protection against more severe illness resulting in urgent care or hospitalizations. More than 10,000 children between the ages of 6 months and 12 years are enrolled in Pfizer Covid-19 vaccine trials at study sites around the world. The companies expect to submit data from these trials focused on children younger than 5 in the coming months. That age group is the only one for which a Covid-19 vaccine has not been authorized in the US.
Pfizer and BioNTech said they plan to submit this data to the European Medicines Agency and other regulatory agencies for authorization in the coming weeks.",Jen Christensen,https://www.cnn.com/2022/04/26/health/pfizer-booster-eua/index.html
CNN,3,FDA approves remdesivir to treat young children with Covid-19,"The US Food and Drug Administration announced Monday that it has expanded approval of the Covid-19 drug remdesivir to treat patients as young as 28 days and weighing about 7 pounds. This is the first Covid-19 treatment approved for children younger than 12. To be eligible for treatment, the FDA said, children must be hospitalized or have mild to moderate Covid-19 and high risk for progressing to severe Covid-19, even if they are not hospitalized. The drug, made by Gilead Sciences and sold as Veklury, had been approved to treat certain adults and patients 12 and older who weighed at least 88 pounds. It's given as an injection. ""As COVID-19 can cause severe illness in children, some of whom do not currently have a vaccination option, there continues to be a need for safe and effective COVID-19 treatment options for this population,"" Dr. Patrizia Cavazzoni, director of the FDA's Center for Drug Evaluation and Research, said in a news release. ""Today's approval of the first COVID-19 therapeutic for this population demonstrates the agency's commitment to that need.""
There is no Covid-19 vaccine authorized for children younger than 5 in the United States. The FDA's approval of remdesivir for young children is ""great,"" said Dr. Daniel Griffin, an instructor in clinical medicine and associate research scientist in the Department of Biochemistry and Molecular Biophysics at Columbia University.
Griffin called remdesivir a ""very effective antiviral"" at preventing the progression of Covid-19 to a more severe illness, lowering the risk of hospitalization or death, when given early in the course of Covid-19 infection. ""More recently, the results have come out -- it was a really landmark paper published in the New England Journal of Medicine -- showing that if you give remdesivir in the first five days, during the acute viral phase, before you wait for the door to close, you could prevent progression by almost 90%. It was 87% in that study. So remdesivir actually can be a very effective antiviral if you give it at the right time in the right patient,"" Griffin said Monday.
""If we can extend this down to children and actually give it to them during the critical time when it can make the biggest difference, finally, we're really opening up more options, because these kids don't have a lot of options,"" he said. ""They don't have access to some of the other therapies that are restricted to that over-12 age group.""","Jamie Gumbrecht, Jacquelin Howard",https://www.cnn.com/2022/04/25/health/fda-remdesivir-covid-treatment-young-children/index.html
CNN,4,How well is our immunity holding up against Covid-19?,"Now that most US cities and states have dropped masking requirements and other precautions against Covid-19, you may be wondering about your chances of getting infected or, worse, being hospitalized or dying if you happen to get sick. Researchers have been digging into that question, and in general, what they've found is that for people who are considered up to date on their Covid-19 vaccines -- that means getting a booster when it's recommended -- protection against illness drops off over three or four months after your last dose, but protection against hospitalization and death remains high. Here's why: Antibodies -- the front-line defenders of the immune system -- gradually drop off after an infection or vaccination. Over a few months, they fade away, and that's normal. But it leaves your body open to another viral invasion. The good news is that although immune defense begins with antibodies, it doesn't end there. Other cells like B cells and T cells remain imprinted with the memory of the virus or vaccine, so they can make another antibody army if they encounter that pathogen again. It takes some time to build that army, so while your body is gearing up to fight, you might get a few symptoms. In the end, though, your immune system should ride to the rescue and help you recover without too much fuss. In general, this is how it's supposed to work. But sometimes, this process doesn't go as planned for everyone. Older adults and those with lower immune function may need extra help to prevent the worst outcomes from a Covid-19 infection. Protection after infection Data presented this week to the US Centers for Disease Control and Prevention's Advisory Committee on Immunization Practices breaks this down. Here's how protection is holding up in real life against an infection by the Omicron coronavirus variant that causes symptoms. If you got: Two doses of the Johnson & Johnson vaccine, they're are 30% effective between two and four months after your shots.
One dose of Johnson & Johnson and one dose of an mRNA shot from Pfizer/BioNTech or Moderna, your vaccines are 55% effective between months 2 and 4.
Three doses of an mRNA shot, your vaccines are 63% effective between months 2 and 4. After five months, boosters offer almost no protection against Omicron infection, according to data from the UK's Health Security Agency. Protection against hospitalization with low immune function When it comes to emergency care or hospitalization, the protection you get from vaccines really depends on your immune function. Sara Tartof, an epidemiologist for Kaiser Permanente in Southern California, has been studying how well a third dose of the Pfizer mRNA vaccine is doing at keeping adults in her health system out of the hospital. Up to three months after a third dose, the vaccine's effectiveness against hospitalization was 85%, but it fell to 55% after three months. After a closer look, though, she found that these results were largely driven by immune status. ""We saw no evidence of waning but in the immunocompromised,"" Tartof said. ""In the immunocompromised, vaccine effectiveness basically starts low and gets lower."" But for people with regular immune function, vaccine effectiveness against hospitalization stayed high -- about 86% -- after three months. Her initial study results are published in The Lancet Repiratory Medicine. Tartof says she plans to update them soon with results by immune status. In general, researchers are finding that for adults 50 and older whose immune systems are working normally, protection starts high and remains high -- about 84% -- for up to six months after a booster dose, when it comes to the risk of being hospitalized with an infection caused by the Omicron variant. For adults 50 and older who have reduced immune function, such as those who've had solid organ transplants or who are getting cancer treatment, protection from a booster is initially good but falls faster. For example, up to two months after a booster dose of an mRNA vaccine, an immunocompromised adult can expect 81% protection from hospitalization if they get an infection caused by the Omicron variant, but that drops to about 49% after four months, according to new CDC data. This is one of the reasons this group has been prioritized for additional boosters.
 Immune protection after infection A study published this week in the journal JAMA Network Open found that unvaccinated people who had recovered from Covid-19 were about 85% less likely to get it again, compared with people who were unvaccinated and uninfected. People who had recovered from infection were about 88% less likely to be hospitalized than those were unvaccinated. The researchers said this protection was on par with that conferred by mRNA vaccines and remained stable up to nine months after the infection. The CDC says that about 90% of people who get Covid-19 will generate antibodies after their infections. But how much protection you get from an infection depends on your symptoms. People with symptoms will make more antibodies than those without, and people who were hospitalized make more antibodies than those who were not. However, all bets are off when it comes to Omicron. A recent study from Qatar found that while a prior infection was highly protective -- about 90% -- against reinfection by the Alpha, Beta and Delta variants, it fell to just 56% against Omicron. Serious outcomes after infection were rare. Experts agree that getting a Covid-19 infection isn't a great way to build immunity because it can be so unpredictable, even deadly. But if you've had one, you are likely have some protection from it, and people should be able to count on that when thinking about risk, Dr. Dorry Segev, a transplant surgeon at NYU's Grossman School of Medicine, told CNN Chief Medical Correspondent Dr. Sanjay Gupta. ""Covid is a high-risk, high-consequence way of getting immunity. But if you had Covid and you went through that and you have immunity, that is something we need to respect, and we need to incorporate in the ways we draw the new social contract of Covid,"" Segev said.",Brenda Goodman,https://www.cnn.com/2022/04/22/health/immunity-against-covid-19/index.html
CNN,5,When will the US have a Covid-19 vaccine for the youngest children?,"It's been more than a year since adults first got Covid-19 vaccines, but about 18 million children under 5 in the US are still waiting -- and will probably have to wait until the summer, despite some predictions that shots would be available in the first part of 2022. While Moderna has shared some data on two doses of Covid-19 vaccine for younger children, Pfizer and BioNTech's data on three doses for younger children is not yet available. The US Food and Drug Administration is weighing whether to consider emergency use authorization for both the Pfizer/BioNTech and Moderna Covid-19 vaccines for young children at the same time, rather than considering them separately, Dr. Anthony Fauci, chief medical adviser to President Biden, said Thursday. ""Two products that are similar but not identical, particularly with regard to the dose, and what the FDA wants to do is to get it so that we don't confuse people to say 'this is the dose. This is the dose regimen for children within that age group of 6 months to 5 years,' "" Fauci, director of the National Institute of Allergy and Infectious Diseases, told CNN's Kasie Hunt. The Pfizer vaccine was made to protect against the original strain of the coronavirus, and the initial series of two 3-milligram doses tested in kids under 5 wasn't powerful enough to keep them safe from the more infectious Omicron variant. ""It didn't meet the criteria for efficacy,"" Fauci said. ""There was never a safety issue, but it didn't meet the criteria, which then had them go back and do a study with a third dose as a part of the primary regimen."" Pfizer CEO Albert Bourla said the goal is to have its Covid-19 vaccine available for kids 4 and younger by summer. ""I hope, we will aim to make it in June,"" Bourla said on the ""In the Bubble with Andy Slavitt"" podcast, posted Monday. He said the FDA has been extremely collaborative and flexible during this testing and authorization process. In a statement, the FDA said it couldn't comment on any particular company's Covid-19 vaccine EUA request but noted ""that at this time, we do not have a complete EUA request in house to consider for children under 5 years of age."" ""We continue to engage with companies to discuss their data, but we cannot adjudicate a decision on any vaccine without a complete EUA request, in order to allow us to do our thorough review. Any timeline on these actions is driven by when the data are provided to FDA and fully support a regulatory action,"" FDA spokesperson Abby Capobianco said. Pfizer studying third doses When Pfizer and BioNTech were testing their vaccine for younger children with two doses, the FDA asked the companies to submit a request for emergency use authorization of that regimen; they said would continue to test a third dose as the two-dose regimen moved through the regulatory process. In mid-February, the plan changed again. Dr. Peter Marks, director of the FDA's Center for Biologics Evaluation and Research, said the agency needed to see data on the third vaccine dose in these younger children in order to move forward with emergency use authorization. Scientists working on clinical trials for the youngest children have the benefit of observing what happens with other age groups. After seeing breakthrough infections in 2021, especially with the rise of the highly contagious Omicron variant, researchers learned quickly that adults and adolescents needed additional doses of Covid-19 vaccine. ""When we started comparing not only against Delta, that was the previous one, but against Omicron, we realized the same thing as we realized in adults,"" Bourla said. ""In adults, two doses, they provide very little protection against Delta. The third dose makes very strong. So we realized that this is the case also for pediatric, so we extended the trials to go to the third dose. ""We will provide you pretty soon data on the third dose, which we think will provide dramatically higher results,"" Bourla told Slavitt. 'Safety is of paramount importance' Moderna has said its vaccine for younger children had a favorable safety profile, and for the Pfizer vaccine, Bourla said ""so far, that the safety looks very, very good."" ""My expectation is that we will have zero issues with safety. We're waiting to see the efficacy, and my expectation is that it will be very good,"" Bourla said. ""Safety is of paramount importance,"" Bourla said, which is why the company went with a lower dose of vaccine for young children than what's used in adults. The biggest questions that remain for the Pfizer vaccines are exactly how protective the vaccines are, what the right vaccine schedule and dose is. The trials should answer these questions. If the vaccine is authorized, little kids could get it on a different schedule than adults and adolescents. Rather than waiting four or five months before a third dose like older ages, the youngest age group could get a third shot as quickly as two months after the second. Children are less likely than adults to be hospitalized or to die from Covid-19, but at least 463 children 4 and younger have died from the disease, according to the US Centers for Disease Control and Prevention. ""We need [the vaccines],"" said Dr. Paul Offit, the director of the Vaccine Education Center and professor of pediatrics in the Division of Infectious Diseases at Children's Hospital of Philadelphia, and a member of the FDA's Vaccines and Related Biological Products Advisory Committee. ""This virus is going to be with us until I'm dead. I can promise you that. ""We still vaccinate children against polio in this country, and we haven't had polio in this country for almost 50 years. Why? Because it still exists in this world. This virus is going to exist in the world and continue to do harm."" Offit said the world is going to need a population that's highly immune to the coronavirus for a ""very long time."" ""Every year, 3½ to 4 million children are born in this country who are unprotected. They are going to need to be protected for some time,"" he said. ""And the sooner the better, the sooner you can do it safely."" Moderna moves ahead with two doses Moderna has also been working on a vaccine for younger children. Dr. Paul Burton, the company's chief medical officer, said at the end of March that a vaccine for this age group is a ""huge priority."" The company plans to submit its application to the FDA and other regulators around the world ""just as soon as we can."" Moderna said its Covid-19 vaccine performs as well in children as it does in adults. Two 25-microgram doses provided a similar immune response for children 6 months through 5 years as two 100-microgram doses for adults 18 to 25, the company said, indicating that the benefit conferred to young adults is also conferred to young children. The data showed it was safe and had ""a robust neutralizing antibody response."" The two doses are given to children 28 days apart. Moderna said it was preparing to evaluate the potential of a booster shot for all children 6 months and older that would target the original strain of the virus as well as the Omicron variant. Burton told Yahoo Finance last month that he wanted to be ""realistic for the parents waiting."" ""We're still talking a couple of months to the availability of the vaccine. This is not a couple of weeks,"" he said. Steps parents can take now While parents are waiting to vaccinate their little ones, there is something they can do to protect the children. All adults who interact with the children should be vaccinated, the experts say, and ideally boosted. Adults are also advised to use masks around unvaccinated children, even as many mandates have fallen away. Dr. Doran Fink, who oversees the FDA's clinical and toxicological review of investigational and US-licensed vaccines, told the US Centers for Disease Control and Prevention's Advisory Committee on Immunization Practices on Wednesday that he understood parents' concerns. He also promised that the FDA would work ""diligently"" to verify any data submitted. ""We know that many parents and caregivers and health care providers are anxious to have Covid vaccines available for this age group,"" Fink said. ""I do want to reassure the committee and the public that we understand this concern, and we want to have available safe and effective vaccines for all age groups who will benefit from them.""",Jen Christensen,https://www.cnn.com/2022/04/22/health/vaccine-timeline-under-5-wellness/index.html
Fox,1,FDA panel endorses Johnson & Johnson COVID-19 vaccine booster with 2-month gap for ages 18 and up,"A Food and Drug Administration (FDA) advisory committee on Friday endorsed an emergency authorization for the Johnson & Johnson COVID-19 vaccine booster when administered at least two months after the initial dose among people ages 18 years and older. The vote was 19-0. The recommendation is not final and will go before the FDA to issue an official decision. The FDA’s Vaccines and Related Biological Products Advisory Committee (VRBPAC) was charged with weighing whether safety and effectiveness data supported an emergency authorization for a booster shot at two months following the initial dose, stemming from a trial involving 30,000 participants. The panel’s vote Friday applied to all individuals ages 18 and older, while the panel previously endorsed authorizations for the Pfizer-BioNTech and Moderna booster shots across certain high-risk groups, like adults over age 65 and people ages 18-64 at high risk of exposure and severe COVID-19 disease. Company findings presented during the meeting Friday indicated the initial dose was 74% effective against severe disease and 70% protective against symptomatic disease, however a booster shot administered at two months increased protection to 94%, according to Dr. Penny Heaton, global therapeutic area head at Janssen. However, studies indicated ranging efficacies, and surveillance data found the initial shot was 68% effective against hospitalization among adults without immunocompromising conditions. Protection from the initial dose was durable over time, Heaton said, which contrasts to the fading protection seen with the mRNA COVID-19 vaccines. However, the J&J vaccine offers less protection compared to the mRNA shots, even with their waning, Cohn noted. ""The reality is that your vaccine does seem to be holding up actually quite well in terms of durability, so the immediate need for a booster is not apparent,"" panel member Dr. Michael Kurilla told J&J officials, but he noted some potential benefit against emerging variants. Of note, panel members noted concern that the FDA hadn’t yet conducted full independent analyses or verification of the company-submitted data including thousands of patients, which would have taken months to review, according to Dr. Peter Marks, director of the FDA’s Center for Biologics Evaluation and Research. Uptake of the one-shot J&J vaccine has lagged far behind vaccines developed by Pfizer-BioNTech and Moderna, at 15.2 million doses administered, versus 236 million and 153 million shots in arms, respectively, per CDC data. In April, federal health officials lifted an 11-day pause on use of the J&J COVID-19 vaccine  following a review and the recommendation of a panel of experts who determined it met safety standards despite rare instances of severe blood clots. In an updated safety analysis Friday, J&J officials noted not a single case of the rare clotting syndrome, thrombosis with thrombocytopenia syndrome (TTS), was detected in the booster shot trials. Finally, Dr. Paul Offit, voting member and attending physician in the Division of Infectious Diseases at Children's Hospital of Philadelphia, noted that most people who received the initial J&J one-shot vaccine received it more than two months ago, and the panel on Friday declined to recommend the booster when administered after six months due to insufficient data and a small sample size of 17 participants. What’s more, panel members suggested the J&J vaccine is better fit as a two-dose series with an amended emergency use authorization, instead of a single dose and a follow-up booster shot.",Kayla Rivas,https://www.foxnews.com/health/fda-panel-johnson-johnson-covid-vaccine-booster
Fox,2,"FDA panel endorses Pfizer’s COVID-19 vaccine booster for people 65 and older, high-risk patients","A U.S. Food and Drug Administration (FDA) advisory panel on Friday endorsed emergency approval for the Pfizer-BioNTech COVID-19 vaccine booster shot at least six months following the second dose among people ages 65 and older and those at high risk of occupational exposure and severe COVID-19. The vote was 18-0. The vote will now go before the FDA to issue a final decision. The panel earlier Friday afternoon voted to reject licensure of Pfizer's booster vaccine in people ages 16 and older, at a vote of 2-16. During the deliberations, panel members suggested older, vulnerable populations may benefit from boosters, but noted insufficient data among younger groups and concerns over potential increased risk for heart inflammation, particularly among males ages 16-17. The committee was most recently charged with voting whether the safety and effectiveness data from Pfizer's clinical trial supported emergency use authorization of the company's booster dose among people 65 years and older and people at high-risk for a severe course of COVID-19 disease. The meeting included members of the FDA's Vaccines and Related Biological Products Advisory Committee, (VRBPAC), as well as officials from the Centers for Disease Control and Prevention (CDC), lsrael’s Health Ministry, vaccine experts and Pfizer representatives. Dr. William Gruber, senior vice president of vaccine clinical research and development at Pfizer, noted Phase 3 trial data indicating waning protection over time, from 96% vaccine efficacy within two months after the second dose to about 84% by six months and amid the dominant delta variant. While protection dropped against infections, it remained effective in preventing hospitalizations. Gruber cited evidence suggesting reductions in efficacy owed to waning immunity over time as opposed to the delta variant escaping vaccine protection. Additional data suggested a third Pfizer dose would ramp up protection on par or better than the second dose, however concerns were raised over the potential increased risk of myocarditis. The FDA panel's review included Pfizer's trial results with some 300 participants ages 18-55 who received a booster dose about six months after the second dose. To be clear, the role of the FDA and advisory panel in this case is to determine whether an additional dose can be used, whereas an expert panel advising the CDC (Advisory Committee on Immunization Practices, ACIP), will convene Wednesday to weigh who should receive vaccine and when, following the FDA's final review. Top health officials last month said this group would likely include health care workers and nursing home residents who were targeted in the earliest phases of the rollout. ",Kayla Rivas,https://www.foxnews.com/health/fda-panel-pfizer-covid-19-vaccine-booster
Fox,3,De Blasio to pay kids $100 to get the COVID-19 vaccine,"New York City will begin offering $100 to incentivize COVID-19 vaccines for kids ages 5-11. ""Everyone can use a little more money around the holidays but most importantly we want our kids and our families to be safe,"" New York City Mayor Bill de Blasio said in a statement. The new policy will apply to New York City-run vaccine sites and comes two days after the Centers for Disease Control and Prevention approved Pfizer's COVID-19 vaccine for emergency use for children 5-11-years-old. The mayor said that getting the vaccine now will allow children to be fully vaccinated before Christmas, hoping that the $100 incentive will drive people to show up and get extra money for holidays. The city is hoping to speed its effort to get kids vaccinated before they travel for the holidays, noting that the updated CDC guidance says that children have to wait three weeks between Pfizer doses, even though the dosage is smaller than the adult dose. The mayor also said that every public school in the city that serves children in the targeted age range will hold a dedicated vaccination day for those students beginning next week, which will cover about 1,070 sites over the course of the week by hitting roughly 200 schools per day. The city stressed that parents should be present to give verbal consent, whether at a school site or a city-run site, for their children to receive the shot, though de Blasio noted that parents and guardians can also give verbal consent over the phone. ""All choices are good choices, but we want to make it available and easy for parents who prefer just to go to their local school building,"" de Blasio said. While millions of doses of the Pfizer vaccine have already been shipped around the country in advance of the guidance, pediatricians in the city say they have not been overwhelmed by calls for appointments for kids to get the shot. ""We do NOT yet have the vaccine in our office. We placed an order last week and are awaiting confirmation about when the vaccine will be delivered. We will NOT schedule appointments until we have it,"" a letter from Uptown Pediatrics in Manhattan sent to families Wednesday said. But city Health Commissioner David Chokshi stressed that parents can choose from multiple sites to get their children vaccinated. ""There’s no wrong door here. We just wanna get as many kids vaccinated as quickly as we can,"" Chokshi said.",Michael Lee,https://www.foxnews.com/politics/de-blasio-paying-kids-100-to-get-the-covid-19-vaccine
Fox,4,COVID-19 vaccine booster and flu shot: Is it safe to receive both on same day?,"As the flu season approaches and coincides with millions of Americans newly eligible for the Pfizer-BioNTech COVID-19 vaccine booster, with expert backing for boosters developed by Moderna and J&J, many may wonder whether it’s safe to receive both a booster and a flu vaccine in one visit. ""Flu vaccines and COVID-19 vaccines can be given at the same time,"" the Centers for Disease Control and Prevention (CDC) states on its webpage. The health agency advises providers to administer vaccines into different injection sites at least 1 inch apart to differentiate between any local reactions. ""Certainly, if a person has any concerns, they can take them at different times,"" Dr Aaron Glatt, chief of infectious diseases at Mount Sinai South Nassau, told Fox News. ""Likewise, there is no reason to wait 14 days [between vaccinations], like it was originally recommended, after getting either vaccination."" What’s more, there’s no current evidence that co-administration will magnify any potential side effects, according to Dr. Fred Davis, associate chair of emergency medicine at Northwell Health on Long Island, who also noted the most common side effect for both involve a sore arm at the injection side. Tim Mack, 56-year-old of New York City, told Fox News that he recently received his COVID-19 vaccine booster and flu shot on the same day. Mack, who has an underlying health condition, said he had the typical soreness from the injections, but didn’t feel as though the flu shot worsened any of the usual side effects from the COVID-19 vaccine. ""I felt a little tired, but not anything more than I had with the second COVID vaccine shot,"" Mack told Fox News, adding that he wanted to receive both shots at the same time due to upcoming family events and holidays. The U.S. recorded a historic low in flu activity last winter, believed to have largely resulted from mitigation measures taken amid the pandemic to reduce the risk of COVID-19 infection, such as wearing masks, distancing and practicing hand hygiene. However, this year health experts are warning of a possible increase in flu activity. ""This year our society has opened up more and masks have become less apparent so it’s likely we will see more flu cases this year,"" Davis told Fox News. Health officials urge vaccination against both diseases; the COVID-19 vaccine does not protect against the flu, and the flu vaccine will not protect against COVID-19, Denise Walsh, dean of the school of health professions and nursing and chief global health officer at Long Island University, reiterated. ""Getting a flu vaccine is the best protection against flu and its potentially serious complications, and getting a COVID-19 vaccine is the best protection against COVID-19,"" per the CDC webpage, which advises patients with any questions to consult their healthcare provider.",Amy McGorry,https://www.foxnews.com/health/covid-vaccine-booster-flu-shot-both-same-day
Fox,5,Will Johnson & Johnson COVID-19 vaccine recipients need booster too?,"The plan for booster shots laid out by health officials on Wednesday applies to Americans who received both doses of an mRNA COVID-19 vaccine, but for the nearly 14 million who received Johnson & Johnson’s one-dose jab, the details are not yet clear. According to the Centers for Disease Control and Prevention (CDC), the data behind the booster plan includes studies that demonstrated waning vaccine effectiveness against COVID-19 infection in people who received either the Pfizer-BioNTech or Moderna two-dose shots. The rollout for those shots began months before the Johnson & Johnson vaccine received FDA authorization, however, so the data on long-term effectiveness is forthcoming. ""We also anticipate booster shots will likely be needed for people who received the Johnson & Johnson (J&J) vaccine,"" the statement, attributed to the CDC’s Dr. Rochelle Walensky, Dr. Anthony Fauci, the FDA’s Dr. Janet Woodcock and others, said. ""Administration of the J&J vaccine did not begin in the U.S. until March 2021, and we expect more data on J&J in the next few weeks. With those data in hand, we will keep the public informed with a timely plan for J&J booster shots as well."" Earlier clinical trial data, which was collected before the delta variant emerged, showed the Johnson & Johnson shot had 72% efficacy in preventing COVID-19 in the U.S. Last month, the company said new data demonstrated the shot induced a strong neutralizing antibody response against the delta variant, and that protection lasted through at least eight months. The data showed the shot demonstrated an 85% effectiveness against severe disease, hospital and death. Eight months is the mark officials pinned for the booster timeline regarding mRNA vaccines, but it’s yet to be seen what they will decide for the viral vector shot. U.S. Surgeon General Dr. Vivek Murthy stressed that the plan laid out faces review by the FDA and the CDC’s Advisory Committee on Immunization Practices (ACIP) before a booster rollout can begin. ",Alexandria Hein,https://www.foxnews.com/health/johnson-johnson-covid-19-vaccine-recipients-booster
